rental_id,car_id,checkin_type,state,delay_at_checkout_in_minutes,previous_ended_rental_id,time_delta_with_previous_rental_in_minutes,delay_category,next_rental
543180,350521,mobile,ended,14.0,,,Late: 0-15 mins,False
543186,395671,mobile,ended,5.0,,,Late: 0-15 mins,False
543243,344149,mobile,ended,300.0,,,Late: > 2 hours,False
543251,409296,mobile,ended,-18.0,,,Early,False
543287,377312,mobile,ended,12.0,,,Late: 0-15 mins,False
543321,371572,connect,ended,48.0,,,Late: 30-60 mins,False
543328,358772,connect,ended,-9.0,552619.0,240.0,Early,True
543437,409808,mobile,ended,-57.0,,,Early,False
543443,356551,connect,ended,-529.0,,,Early,False
543464,399161,mobile,ended,670.0,,,Late: > 2 hours,False
543614,378939,mobile,ended,-1087.0,,,Early,False
543676,390481,mobile,ended,-53.0,,,Early,False
543679,225795,connect,ended,64.0,540663.0,540.0,Late: 1-2 hours,True
543681,368432,mobile,ended,2.0,,,Late: 0-15 mins,False
543761,294189,mobile,ended,24.0,,,Late: 15-30 mins,False
543780,319708,mobile,ended,55.0,,,Late: 30-60 mins,False
543808,369230,mobile,ended,75.0,536315.0,60.0,Late: 1-2 hours,True
543984,313085,mobile,ended,-44.0,,,Early,False
544164,301301,connect,ended,-244.0,,,Early,False
544167,306607,connect,ended,337.0,,,Late: > 2 hours,False
544197,387939,connect,ended,39.0,,,Late: 30-60 mins,False
544443,337047,mobile,ended,56.0,,,Late: 30-60 mins,False
544586,312389,mobile,ended,31.0,,,Late: 30-60 mins,False
544617,367627,mobile,ended,-23.0,,,Early,False
544763,394781,mobile,ended,233.0,,,Late: > 2 hours,False
544777,387810,connect,ended,50.0,,,Late: 30-60 mins,False
544937,348400,mobile,ended,108.0,,,Late: 1-2 hours,False
544967,373545,mobile,ended,56.0,,,Late: 30-60 mins,False
544980,350135,mobile,ended,-2.0,,,Early,False
545064,194343,connect,ended,74.0,,,Late: 1-2 hours,False
545068,374684,mobile,ended,-31.0,,,Early,False
545171,292910,mobile,ended,7.0,,,Late: 0-15 mins,False
545214,363658,mobile,ended,302.0,,,Late: > 2 hours,False
545272,370585,connect,ended,-98.0,,,Early,False
545319,353251,mobile,ended,93.0,,,Late: 1-2 hours,False
545320,224133,mobile,ended,20.0,,,Late: 15-30 mins,False
545438,393172,connect,ended,-467.0,,,Early,False
545741,409096,mobile,ended,20.0,,,Late: 15-30 mins,False
545763,366310,mobile,ended,69.0,,,Late: 1-2 hours,False
545782,382901,mobile,ended,-9.0,,,Early,False
545922,409695,mobile,ended,-80.0,,,Early,False
545947,396470,mobile,ended,-44.0,,,Early,False
546024,381038,mobile,ended,163.0,,,Late: > 2 hours,False
546150,242106,mobile,ended,-2.0,,,Early,False
546169,409274,mobile,ended,10.0,,,Late: 0-15 mins,False
546252,408509,mobile,ended,-52.0,,,Early,False
546477,383309,mobile,ended,16.0,548486.0,660.0,Late: 15-30 mins,True
546484,409391,mobile,ended,92.0,,,Late: 1-2 hours,False
546564,392732,mobile,ended,7.0,,,Late: 0-15 mins,False
546745,342645,connect,ended,-55.0,,,Early,False
546822,394781,mobile,ended,30.0,,,Late: 30-60 mins,False
546865,399535,mobile,ended,261.0,,,Late: > 2 hours,False
546888,295783,connect,ended,84.0,,,Late: 1-2 hours,False
546935,348526,connect,ended,85.0,,,Late: 1-2 hours,False
546938,410452,mobile,ended,10.0,,,Late: 0-15 mins,False
546957,405122,mobile,ended,-113.0,,,Early,False
546991,377219,connect,ended,423.0,,,Late: > 2 hours,False
547033,276276,mobile,ended,500.0,,,Late: > 2 hours,False
547122,385574,connect,ended,-5.0,,,Early,False
547160,409344,mobile,ended,1.0,,,Late: 0-15 mins,False
547177,214635,connect,ended,-548.0,,,Early,False
547188,231676,mobile,ended,266.0,535868.0,30.0,Late: > 2 hours,True
547198,381684,mobile,ended,145.0,,,Late: > 2 hours,False
547223,188944,connect,ended,8.0,,,Late: 0-15 mins,False
547236,392147,mobile,ended,-8.0,,,Early,False
547348,374614,mobile,ended,74.0,,,Late: 1-2 hours,False
547557,408406,mobile,ended,126.0,,,Late: > 2 hours,False
548028,409718,mobile,ended,15.0,,,Late: 15-30 mins,False
548215,367346,mobile,ended,-8.0,,,Early,False
548279,317330,connect,ended,-692.0,,,Early,False
548352,409458,mobile,ended,195.0,,,Late: > 2 hours,False
548598,288973,mobile,ended,-133.0,,,Early,False
548603,363820,mobile,ended,-22.0,,,Early,False
548646,282893,mobile,ended,201.0,,,Late: > 2 hours,False
548702,406104,mobile,ended,21.0,,,Late: 15-30 mins,False
548897,278005,mobile,ended,-307.0,,,Early,False
548904,373316,mobile,ended,-40.0,,,Early,False
548912,411521,mobile,ended,225.0,553683.0,60.0,Late: > 2 hours,True
549047,369608,mobile,ended,-37.0,,,Early,False
549261,360829,mobile,ended,-12.0,,,Early,False
549266,411687,mobile,ended,-11.0,,,Early,False
549273,175887,connect,ended,-26.0,,,Early,False
549290,364907,connect,ended,-49.0,,,Early,False
549340,181607,mobile,ended,381.0,,,Late: > 2 hours,False
549345,369881,connect,ended,22.0,,,Late: 15-30 mins,False
549444,177058,mobile,ended,144.0,,,Late: > 2 hours,False
549446,391174,mobile,ended,69.0,,,Late: 1-2 hours,False
549499,408814,mobile,ended,19.0,,,Late: 15-30 mins,False
549558,328016,mobile,ended,10.0,,,Late: 0-15 mins,False
549579,273263,mobile,ended,-5.0,,,Early,False
549674,390702,connect,ended,-127.0,,,Early,False
549692,358131,mobile,ended,-158.0,,,Early,False
549808,310219,connect,ended,54.0,,,Late: 30-60 mins,False
549874,409690,mobile,ended,3.0,,,Late: 0-15 mins,False
549901,383481,mobile,ended,201.0,,,Late: > 2 hours,False
